date,USD,EUR
2025-02-08,97.2762,101.2243
2025-02-09,97.2762,101.2243
2025-02-10,97.2762,101.2243
2025-02-11,96.7821,100.4991
2025-02-12,95.8024,99.1953
2025-02-13,94.0485,98.0119
2025-02-14,91.0313,94.9221
2025-02-15,90.3099,94.8876
2025-02-16,90.3099,94.8876
2025-02-17,90.3099,94.8876
2025-02-18,91.4347,95.8048
2025-02-19,91.3398,95.6693
2025-02-20,90.4268,94.0834
2025-02-21,88.5103,92.4831
2025-02-22,88.1676,92.0152
2025-02-23,88.1676,92.0152
2025-02-24,88.1676,92.0152
2025-02-25,88.2065,92.5162
2025-02-26,86.6318,90.9403
2025-02-27,85.9279,90.1826
2025-02-28,87.6967,92.0362
2025-03-01,88.2568,91.5655
2025-03-02,88.2568,91.5655
2025-03-03,88.2568,91.5655
2025-03-04,89.2497,92.853
2025-03-05,89.2448,93.9034
2025-03-06,89.7878,95.7035
2025-03-07,89.5724,96.5975
2025-03-08,89.1362,96.8609
2025-03-09,89.1362,96.8609
2025-03-10,89.1362,96.8609
2025-03-11,88.3872,95.4443
2025-03-12,86.5669,93.6639
2025-03-13,86.6204,93.971
2025-03-14,86.619,94.2559
2025-03-15,85.5694,93.6087
2025-03-16,85.5694,93.6087
2025-03-17,85.5694,93.6087
2025-03-18,84.3059,90.8443
2025-03-19,81.5018,87.5697
2025-03-20,82.8487,90.8257
2025-03-21,84.3955,92.4633
2025-03-22,84.64,91.4262
2025-03-23,84.64,91.4262
2025-03-24,84.64,91.4262
2025-03-25,83.8737,91.5252
2025-03-26,84.193,92.3409
2025-03-27,84.2065,92.0029
2025-03-28,83.8347,90.5441
2025-03-29,83.6813,89.6553
2025-03-30,83.6813,89.6553
2025-03-31,83.6813,89.6553
2025-04-01,85.4963,92.4276
2025-04-02,84.8707,91.9643
2025-04-03,84.5522,91.2044
2025-04-04,84.383,93.1608
2025-04-05,84.2774,92.9855
2025-04-06,84.2774,92.9855
2025-04-07,84.2774,92.9855
2025-04-08,86.1891,94.7742
2025-04-09,85.4641,93.7755
2025-04-10,86.0923,95.091
2025-04-11,85.0159,94.6036
2025-04-12,84.004,96.2163
2025-04-13,84.004,96.2163
2025-04-14,84.004,96.2163
2025-04-15,82.7671,94.1635
2025-04-16,82.3003,93.6844
2025-04-17,82.5892,93.3356
2025-04-18,82.02,93.2513
2025-04-19,81.1371,92.2232
2025-04-20,81.1371,92.2232
2025-04-21,81.1371,92.2232
2025-04-22,80.7597,93.6714
2025-04-23,81.462,94.04
2025-04-24,82.3637,94.5723
2025-04-25,82.8559,94.7129
2025-04-26,82.6549,94.3593
2025-04-27,82.6549,94.3593
2025-04-28,82.6549,94.3593
2025-04-29,82.5467,93.1801
2025-04-30,81.5616,93.173
2025-05-01,81.4933,92.837
2025-05-02,81.4933,92.837
2025-05-03,81.4933,92.837
2025-05-04,81.4933,92.837
2025-05-05,81.4933,92.837
2025-05-06,81.9137,92.9082
2025-05-07,80.9644,91.9169
2025-05-08,80.8612,92.1439
2025-05-09,80.8612,92.1439
2025-05-10,80.8612,92.1439
2025-05-11,80.8612,92.1439
2025-05-12,80.8612,92.1439
2025-05-13,80.8883,90.1117
2025-05-14,80.55,89.6956
2025-05-15,80.2237,90.3821
2025-05-16,80.3134,90.1011
2025-05-17,80.7689,90.7062
2025-05-18,80.7689,90.7062
2025-05-19,80.7689,90.7062
2025-05-20,80.4137,90.5098
2025-05-21,80.3075,89.9679
2025-05-22,79.753,91.299
2025-05-23,79.7357,90.2004
2025-05-24,79.7108,90.5207
2025-05-25,79.7108,90.5207
2025-05-26,79.7108,90.5207
2025-05-27,79.6588,90.4644
2025-05-28,79.6176,90.9007
2025-05-29,79.6037,90.3365
2025-05-30,78.497,88.9481
2025-05-31,78.6171,89.2512
2025-06-01,78.6171,89.2512
2025-06-02,78.6171,89.2512
2025-06-03,79.1285,90.377
2025-06-04,78.8549,89.9267
2025-06-05,78.5025,89.3108
2025-06-06,79.1272,90.6635
2025-06-07,79.1703,90.3954
2025-06-08,79.1703,90.3954
2025-06-09,79.1703,90.3954
2025-06-10,79.1543,90.3666
2025-06-11,78.6003,89.7918
2025-06-12,79.0028,90.0068
2025-06-13,79.0028,90.0068
2025-06-14,79.0028,90.0068
2025-06-15,79.0028,90.0068
2025-06-16,79.0028,90.0068
2025-06-17,78.5067,90.9438
2025-06-18,78.7135,90.7548
2025-06-19,78.7174,90.3093
2025-06-20,78.4839,89.838
2025-06-21,78.5016,90.1356
2025-06-22,78.5016,90.1356
2025-06-23,78.5016,90.1356
2025-06-24,78.2923,89.8388
2025-06-25,78.3892,91.737
2025-06-26,78.1959,91.0599
2025-06-27,78.2117,91.6601
2025-06-28,78.4685,92.2785
2025-06-29,78.4685,92.2785
2025-06-30,78.4685,92.2785
2025-07-01,78.5284,92.2672
2025-07-02,78.4181,92.744
2025-07-03,78.654,92.6774
2025-07-04,78.7831,93.1277
2025-07-05,78.8354,93.0103
2025-07-06,78.8354,93.0103
2025-07-07,78.8354,93.0103
2025-07-08,78.7185,92.4138
2025-07-09,78.1682,91.9667
2025-07-10,78.1727,91.4175
2025-07-11,77.9029,91.4992
2025-07-12,77.8855,91.1201
2025-07-13,77.8855,91.1201
2025-07-14,77.8855,91.1201
2025-07-15,78.3722,91.7738
2025-07-16,77.9584,91.1531
2025-07-17,77.9585,90.5635
2025-07-18,78.1856,90.9716
2025-07-19,78.3129,91.0821
2025-07-20,78.3129,91.0821
2025-07-21,78.3129,91.0821
2025-07-22,78.3274,91.5138
2025-07-23,78.0882,91.7782
2025-07-24,78.4477,91.7897
2025-07-25,78.8623,93.3362
2025-07-26,79.5527,93.3508
2025-07-27,79.5527,93.3508
2025-07-28,79.5527,93.3508
2025-07-29,79.5782,93.206
2025-07-30,82.2197,94.9976
2025-07-31,81.8347,94.9514
2025-08-01,80.3163,91.8751
2025-08-02,80.3289,91.7056
2025-08-03,80.3289,91.7056
2025-08-04,80.3289,91.7056
2025-08-05,79.6736,92.3252
2025-08-06,80.049,92.5094
2025-08-07,80.1914,93.0072
2025-08-08,79.3847,92.6636
2025-08-09,79.7796,92.88
2025-08-10,79.7796,92.88
2025-08-11,79.7796,92.88
2025-08-12,79.6677,92.9485
2025-08-13,79.8714,92.8583
2025-08-14,79.6032,93.3875
2025-08-15,79.7653,93.0588
2025-08-16,80.0224,93.7094
2025-08-17,80.0224,93.7094
2025-08-18,80.0224,93.7094
2025-08-19,80.4256,94.0884
2025-08-20,80.3466,93.5604
2025-08-21,80.1045,93.4791
2025-08-22,80.2548,93.5049
2025-08-23,80.7498,93.6274
2025-08-24,80.7498,93.6274
2025-08-25,80.7498,93.6274
2025-08-26,80.6842,94.4622
2025-08-27,80.5268,93.3684
2025-08-28,80.4421,93.3428
2025-08-29,80.2918,93.4891
2025-08-30,80.3316,94.0479
2025-08-31,80.3316,94.0479
2025-09-01,80.3316,94.0479
2025-09-02,80.4261,94.3841
2025-09-03,80.5947,93.8373
2025-09-04,80.8488,94.2539
2025-09-05,81.2977,94.7754
2025-09-06,81.5556,95.4792
2025-09-07,81.5556,95.4792
2025-09-08,81.5556,95.4792
2025-09-09,82.3397,96.5691
2025-09-10,83.2425,98.0336
2025-09-11,84.9211,99.8246
2025-09-12,85.6647,99.7367
2025-09-13,84.3798,99.3304
2025-09-14,84.3798,99.3304
2025-09-15,84.3798,99.3304
2025-09-16,83.0718,97.4502
2025-09-17,82.8359,97.8903
2025-09-18,82.9987,98.2994
2025-09-19,83.1725,98.9773
2025-09-20,83.5904,98.8845
2025-09-21,83.5904,98.8845
2025-09-22,83.5904,98.8845
2025-09-23,84.0186,98.9638
2025-09-24,83.3506,99.0363
2025-09-25,83.9914,98.6015
2025-09-26,83.6069,98.1542
2025-09-27,83.6118,97.6823
2025-09-28,83.6118,97.6823
2025-09-29,83.6118,97.6823
2025-09-30,82.8676,97.141
2025-10-01,82.6084,96.8644
2025-10-02,81.4967,95.6382
2025-10-03,81.0085,95.3411
2025-10-04,81.8969,96.0525
2025-10-05,81.8969,96.0525
2025-10-06,81.8969,96.0525
2025-10-07,83.0,96.8345
2025-10-08,81.9349,95.6722
2025-10-09,81.5478,94.9351
2025-10-10,81.4103,94.703
2025-10-11,81.1898,94.0491
